epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,152.317,1.4177,2.34952,1.59504,0.39925,0.13674,0.16672,0.05464,1.76043,3.31159,2.058,0.000540649,0.000540649,0.000540649
2,304.617,1.37957,1.83631,1.53152,0.46242,0.25641,0.30957,0.10847,1.75384,3.06054,2.04787,0.000734531,0.000734531,0.000734531
3,461.026,1.32946,1.68396,1.48626,0.55639,0.30769,0.33101,0.15715,1.86286,2.7429,2.184,0.000561674,0.000561674,0.000561674
