epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,158.05,1.4177,2.34952,1.59504,0.39925,0.13674,0.16672,0.05464,1.76043,3.31159,2.058,0.000540649,0.000540649,0.000540649
2,315.418,1.41115,1.88246,1.56042,0.38514,0.22506,0.17415,0.06993,2.03424,3.15195,2.4482,0.00107461,0.00107461,0.00107461
3,475.314,1.4832,1.81522,1.60784,0.27292,0.33333,0.1971,0.0675,1.97274,3.10633,2.58423,0.00158656,0.00158656,0.00158656
4,631.156,1.50005,1.77295,1.62258,0.18643,0.20513,0.09803,0.02257,2.2893,4.29393,2.61244,0.00156798,0.00156798,0.00156798
5,788.207,1.51984,1.74248,1.64558,0.32916,0.30769,0.21349,0.07253,2.10125,2.84431,2.51109,0.00153497,0.00153497,0.00153497
6,939.757,1.45373,1.65203,1.62852,0.58068,0.25641,0.3108,0.10219,2.19532,2.69797,2.7258,0.00150197,0.00150197,0.00150197
7,1097.38,1.42654,1.54701,1.58162,0.35956,0.35897,0.25098,0.10706,2.20962,2.79792,2.40229,0.00146896,0.00146896,0.00146896
8,1258.51,1.42284,1.54448,1.56271,0.33854,0.28205,0.31002,0.12042,1.98262,2.25775,2.18182,0.00143595,0.00143595,0.00143595
9,1412.48,1.38105,1.48878,1.54294,0.30736,0.15385,0.12758,0.05186,2.71426,2.72731,2.84271,0.00140295,0.00140295,0.00140295
10,1564.68,1.39661,1.46247,1.53339,0.20464,0.38462,0.18074,0.0681,1.97818,2.67299,2.13125,0.00136994,0.00136994,0.00136994
11,1718.86,1.39777,1.47596,1.56038,0.52833,0.33333,0.38514,0.16636,2.00709,2.45173,2.21488,0.00133693,0.00133693,0.00133693
12,1873.09,1.38347,1.42988,1.52716,0.3582,0.38462,0.2616,0.09786,2.13335,2.36301,2.32066,0.00130393,0.00130393,0.00130393
13,2027.87,1.36292,1.37919,1.53582,0.47583,0.38462,0.37467,0.1758,2.01185,2.25529,2.30219,0.00127092,0.00127092,0.00127092
14,2182.82,1.36439,1.38861,1.52668,0.44491,0.30769,0.30263,0.12217,2.22282,2.45314,2.39819,0.00123791,0.00123791,0.00123791
15,2338.21,1.29666,1.31388,1.48817,0.41892,0.35897,0.30495,0.10771,2.21268,2.27657,2.35031,0.00120491,0.00120491,0.00120491
16,2492.39,1.35223,1.34612,1.51398,0.56671,0.25641,0.26644,0.12814,2.08402,2.45974,2.27484,0.0011719,0.0011719,0.0011719
17,2646.7,1.29734,1.30849,1.46194,0.39317,0.38462,0.35833,0.20273,1.97344,2.17436,2.29272,0.00113889,0.00113889,0.00113889
18,2800.8,1.30428,1.26715,1.4978,0.64112,0.38462,0.39655,0.18698,2.14141,2.03529,2.31741,0.00110589,0.00110589,0.00110589
19,2955.38,1.27007,1.24168,1.44737,0.49546,0.33333,0.31448,0.13898,1.97561,2.53041,2.08975,0.00107288,0.00107288,0.00107288
20,3108.28,1.28208,1.23653,1.47282,0.40693,0.30769,0.28807,0.15416,2.11888,2.81546,2.26156,0.00103987,0.00103987,0.00103987
21,3261.72,1.26423,1.19815,1.45651,0.42753,0.38462,0.36183,0.18804,1.83387,2.03999,2.12005,0.00100687,0.00100687,0.00100687
22,3415.13,1.24831,1.16511,1.44109,0.50563,0.33333,0.27499,0.14656,2.17158,2.33153,2.51639,0.000973861,0.000973861,0.000973861
23,3568.96,1.24043,1.15168,1.43898,0.39802,0.38462,0.40128,0.21821,1.81196,1.93605,2.0265,0.000940855,0.000940855,0.000940855
24,3723.62,1.17793,1.14221,1.38828,0.43883,0.33333,0.3485,0.15848,1.94549,2.21685,2.08627,0.000907848,0.000907848,0.000907848
25,3877.9,1.20191,1.09432,1.38476,0.59738,0.35897,0.39711,0.23124,1.8263,1.99254,1.96156,0.000874842,0.000874842,0.000874842
26,4030.8,1.17801,1.07722,1.38935,0.50943,0.33333,0.36023,0.20052,1.88989,2.03777,2.07881,0.000841835,0.000841835,0.000841835
27,4188.47,1.16738,1.05082,1.37284,0.72327,0.33333,0.42259,0.20408,1.91538,1.99137,2.09209,0.000808828,0.000808828,0.000808828
28,4357.23,1.1433,1.02716,1.36573,0.50537,0.38462,0.38691,0.20738,1.99099,2.07917,2.11659,0.000775822,0.000775822,0.000775822
29,4514.11,1.14534,1.03495,1.3756,0.5807,0.30769,0.34344,0.17047,1.99285,2.03488,2.13597,0.000742815,0.000742815,0.000742815
30,4666.38,1.14149,1.03122,1.36001,0.55919,0.46154,0.41484,0.22997,1.82649,1.78347,2.10022,0.000709809,0.000709809,0.000709809
31,4818.18,1.10459,0.98417,1.34216,0.57648,0.33333,0.40703,0.20115,1.87498,1.88711,2.09677,0.000676802,0.000676802,0.000676802
32,4971.04,1.15407,1.00262,1.35967,0.69905,0.35743,0.44134,0.20949,1.99972,1.88353,2.20429,0.000643795,0.000643795,0.000643795
33,5133.33,1.1099,0.96694,1.33304,0.53809,0.38842,0.43796,0.21685,2.02663,1.99866,2.12664,0.000610789,0.000610789,0.000610789
34,5293.84,1.12049,0.96388,1.32505,0.64582,0.35897,0.42522,0.23092,1.88352,1.71418,2.12527,0.000577782,0.000577782,0.000577782
35,5457.49,1.11538,0.93442,1.33588,0.57949,0.35353,0.38809,0.17403,1.93597,1.86051,2.19542,0.000544776,0.000544776,0.000544776
36,5618.83,1.06525,0.94513,1.31655,0.31496,0.41026,0.34398,0.14425,2.11715,2.09604,2.3189,0.000511769,0.000511769,0.000511769
