epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
37,5839.95,1.04937,0.89444,1.31526,0.5297,0.38462,0.38548,0.19957,2.06285,1.80633,2.34754,0.000478762,0.000478762,0.000478762
38,5992.53,1.05381,0.90695,1.30047,0.72755,0.35897,0.45566,0.21901,2.05587,1.77612,2.29964,0.000445756,0.000445756,0.000445756
39,6142.79,1.08165,0.91504,1.31652,0.52585,0.38462,0.40521,0.20077,1.99666,1.80699,2.23813,0.000412749,0.000412749,0.000412749
40,6315.16,1.03391,0.87991,1.2977,0.60394,0.41026,0.45297,0.23746,1.99072,1.73914,2.18481,0.000379743,0.000379743,0.000379743
41,6469.39,0.96994,0.82236,1.28254,0.629,0.35897,0.38292,0.20083,2.06889,1.97596,2.2985,0.000346736,0.000346736,0.000346736
42,6623.26,0.9568,0.74466,1.25937,0.6636,0.40483,0.49532,0.23006,1.96295,1.86805,2.14206,0.000313729,0.000313729,0.000313729
43,6776.76,0.94432,0.72223,1.23425,0.69496,0.35897,0.44229,0.18716,1.93291,1.92229,2.19338,0.000280723,0.000280723,0.000280723
44,6938.96,0.92156,0.68276,1.22883,0.84895,0.33333,0.46756,0.20855,2.04975,1.79544,2.19319,0.000247716,0.000247716,0.000247716
45,7098.76,0.89309,0.6642,1.21378,0.60578,0.4359,0.41405,0.20691,1.95007,1.93793,2.17836,0.00021471,0.00021471,0.00021471
46,7265.28,0.87984,0.6573,1.19828,0.8218,0.35496,0.46879,0.2118,1.94889,1.88054,2.15812,0.000181703,0.000181703,0.000181703
47,7429.45,0.8703,0.62925,1.1867,0.67512,0.38462,0.45497,0.2133,2.03308,1.83416,2.23437,0.000148696,0.000148696,0.000148696
48,7579.29,0.86491,0.63844,1.18675,0.51166,0.46154,0.42491,0.20489,2.02754,1.86271,2.24603,0.00011569,0.00011569,0.00011569
49,7729.64,0.87158,0.63465,1.19345,0.4876,0.51282,0.46727,0.21379,2.07525,1.82251,2.24685,8.26832e-05,8.26832e-05,8.26832e-05
50,7885.02,0.85105,0.61469,1.18433,0.49193,0.52149,0.4871,0.22442,2.06996,1.79381,2.22686,4.96766e-05,4.96766e-05,4.96766e-05
