epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,174.728,1.4177,2.34952,1.59504,0.39925,0.13674,0.16672,0.05464,1.76043,3.31159,2.058,0.000540649,0.000540649,0.000540649
2,369.423,1.41637,1.8947,1.56697,0.36912,0.20513,0.21912,0.07553,2.098,3.02864,2.28056,0.00106014,0.00106014,0.00106014
3,545.888,1.51195,1.84976,1.61647,0.22144,0.15385,0.1146,0.04095,2.30636,3.22009,3.06234,0.00154295,0.00154295,0.00154295
4,736.994,1.48701,1.76062,1.60197,0.53089,0.12821,0.14501,0.07549,2.13303,3.76681,2.71485,0.00150197,0.00150197,0.00150197
5,930.695,1.47645,1.72201,1.62391,0.22676,0.30769,0.2043,0.09007,2.16832,2.50343,2.55025,0.00144696,0.00144696,0.00144696
6,1120.43,1.46433,1.65534,1.62592,0.39745,0.23077,0.22533,0.11367,2.23349,2.52625,2.47967,0.00139195,0.00139195,0.00139195
7,1305.42,1.40315,1.55198,1.56727,0.54766,0.34171,0.37274,0.17751,2.05197,2.15322,2.53835,0.00133693,0.00133693,0.00133693
8,1489.44,1.38017,1.51952,1.54124,0.30258,0.35605,0.24189,0.10378,2.20976,2.6186,2.5904,0.00128192,0.00128192,0.00128192
9,1678.42,1.3785,1.44645,1.54379,0.66871,0.28205,0.3408,0.12776,2.12186,2.35497,2.45459,0.00122691,0.00122691,0.00122691
10,1870.96,1.39365,1.43669,1.51766,0.419,0.23077,0.24135,0.09805,2.02632,2.43305,2.33055,0.0011719,0.0011719,0.0011719
11,2065.06,1.37605,1.47856,1.54127,0.36011,0.30769,0.22364,0.09216,2.17489,2.5032,2.52918,0.00111689,0.00111689,0.00111689
12,2248.78,1.36424,1.39635,1.5204,0.3874,0.4359,0.34664,0.1463,1.96568,2.09701,2.08868,0.00106188,0.00106188,0.00106188
13,2426.14,1.32025,1.34816,1.50815,0.77586,0.30769,0.43748,0.19591,2.04087,1.93982,2.23002,0.00100687,0.00100687,0.00100687
14,2601.47,1.33175,1.34555,1.50781,0.44662,0.30769,0.27948,0.10807,1.98708,2.35297,2.19673,0.000951857,0.000951857,0.000951857
15,2765.1,1.28763,1.28353,1.4702,0.67443,0.33333,0.4099,0.20332,1.97051,1.98162,2.18047,0.000896846,0.000896846,0.000896846
16,2931.21,1.29678,1.28501,1.46507,0.42511,0.30769,0.22003,0.10812,1.79636,2.49218,1.93655,0.000841835,0.000841835,0.000841835
17,3100.37,1.2465,1.23573,1.42021,0.60331,0.38462,0.41707,0.20013,1.77656,1.97415,1.96212,0.000786824,0.000786824,0.000786824
18,3256.34,1.24203,1.1853,1.43503,0.62228,0.35897,0.37881,0.1943,2.03792,2.00454,2.15712,0.000731813,0.000731813,0.000731813
19,3430.32,1.18603,1.15543,1.38063,0.59479,0.51282,0.49159,0.25039,1.90283,1.74117,2.18372,0.000676802,0.000676802,0.000676802
20,3624.63,1.2136,1.16384,1.41966,0.57782,0.38462,0.41143,0.20329,2.03335,1.90128,2.43014,0.000621791,0.000621791,0.000621791
21,3825.01,1.15533,1.09898,1.42019,0.35109,0.35897,0.25991,0.14439,1.93878,2.00581,2.36852,0.00056678,0.00056678,0.00056678
22,10425.4,1.10686,1.00047,1.37388,0.59011,0.48006,0.38244,0.18142,1.98899,1.94861,2.14284,0.000511769,0.000511769,0.000511769
23,10589.7,1.07751,0.94254,1.35689,0.54827,0.4359,0.39507,0.20829,1.91625,1.90913,2.1268,0.000456758,0.000456758,0.000456758
24,10759.8,1.05948,0.92719,1.34285,0.57459,0.48718,0.43707,0.2162,1.7623,1.8277,1.99766,0.000401747,0.000401747,0.000401747
25,10932.6,1.04963,0.87699,1.33623,0.74602,0.46154,0.50808,0.2373,1.81378,1.76754,1.94467,0.000346736,0.000346736,0.000346736
26,11092.6,1.03006,0.86859,1.3092,0.65549,0.48789,0.51174,0.21565,1.91437,1.74767,2.09601,0.000291725,0.000291725,0.000291725
27,11255.5,1.02037,0.82992,1.32425,0.59003,0.55372,0.47816,0.21994,1.80882,1.74173,2.04018,0.000236714,0.000236714,0.000236714
28,11429.7,0.96905,0.80193,1.27569,0.55339,0.41311,0.42043,0.23421,1.85183,1.65163,2.12604,0.000181703,0.000181703,0.000181703
29,11603.6,0.95245,0.79007,1.27428,0.70118,0.48718,0.47349,0.22609,1.76438,1.78076,1.93421,0.000126692,0.000126692,0.000126692
30,11786.3,0.95683,0.76201,1.24659,0.64364,0.48718,0.47875,0.21815,1.80138,1.76873,1.97892,7.1681e-05,7.1681e-05,7.1681e-05
