epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,5406.01,1.16275,1.0013,1.37993,0.5572,0.48718,0.51995,0.24598,2.09722,1.72881,2.16816,0.000990365,0.000990365,0.000990365
43,5572.93,1.13655,0.97478,1.3577,0.51559,0.46154,0.46235,0.23881,1.9886,1.7886,2.14936,0.000973861,0.000973861,0.000973861
44,5737.57,1.13842,0.96998,1.34835,0.54527,0.41026,0.42324,0.2073,1.98759,1.87401,2.23254,0.000957358,0.000957358,0.000957358
45,5903.12,1.13378,0.94589,1.36059,0.46593,0.41026,0.38848,0.22447,2.01019,1.88676,2.21187,0.000940855,0.000940855,0.000940855
46,6065.13,1.08969,0.95387,1.33524,0.56051,0.35897,0.39344,0.18782,2.08191,2.07615,2.25549,0.000924352,0.000924352,0.000924352
47,6238.36,1.06843,0.89506,1.31629,0.45221,0.38462,0.35339,0.14608,2.16952,2.10894,2.37793,0.000907848,0.000907848,0.000907848
48,6419.29,1.08917,0.92762,1.32017,0.67061,0.41026,0.48244,0.20442,2.05265,1.814,2.23388,0.000891345,0.000891345,0.000891345
49,6591.26,1.10683,0.93588,1.33206,0.73768,0.4359,0.48411,0.22016,2.09751,1.70113,2.30285,0.000874842,0.000874842,0.000874842
50,6749.08,1.06252,0.90165,1.31424,0.67386,0.46154,0.52363,0.26344,2.00105,1.74713,2.19278,0.000858338,0.000858338,0.000858338
51,6907.86,1.05528,0.89911,1.31031,0.5978,0.4359,0.4377,0.21167,2.09826,1.64533,2.31985,0.000841835,0.000841835,0.000841835
52,7064.27,1.05627,0.89418,1.30997,0.7062,0.41026,0.47017,0.20446,2.02952,1.88049,2.25112,0.000825332,0.000825332,0.000825332
53,7219.5,1.05676,0.85189,1.2803,0.6809,0.41026,0.45849,0.21799,2.01913,1.87428,2.17441,0.000808828,0.000808828,0.000808828
54,7376.88,1.08584,0.90231,1.31682,0.68985,0.41026,0.45351,0.21995,2.03754,1.77971,2.19613,0.000792325,0.000792325,0.000792325
55,7542.44,1.0517,0.86404,1.28922,0.66498,0.40728,0.40769,0.20126,1.98182,1.73593,2.29412,0.000775822,0.000775822,0.000775822
56,7703.32,1.05463,0.88158,1.29756,0.64654,0.4359,0.44524,0.22103,1.94632,1.73426,2.23502,0.000759318,0.000759318,0.000759318
57,7895.64,1.05278,0.85881,1.31209,0.72078,0.33333,0.41219,0.23133,1.89607,1.80922,2.16911,0.000742815,0.000742815,0.000742815
58,8092.23,1.02343,0.83849,1.28585,0.66184,0.46154,0.47448,0.23132,2.01939,2.08089,2.28058,0.000726312,0.000726312,0.000726312
59,8277.94,1.05312,0.85172,1.30831,0.55638,0.35897,0.40263,0.20194,2.01978,2.01238,2.18424,0.000709809,0.000709809,0.000709809
60,8460.55,1.03383,0.84189,1.27739,0.7686,0.38462,0.50313,0.24278,1.84488,1.66412,2.00539,0.000693305,0.000693305,0.000693305
61,8641.9,1.03455,0.83351,1.28898,0.58409,0.38462,0.42598,0.21025,1.95598,1.93856,2.03347,0.000676802,0.000676802,0.000676802
62,8826.7,0.9995,0.81111,1.25985,0.40478,0.38462,0.35387,0.19906,1.99978,2.15907,2.22753,0.000660299,0.000660299,0.000660299
63,8996.14,1.02445,0.83286,1.27097,0.68965,0.38462,0.42203,0.20863,1.96927,1.89556,2.16207,0.000643795,0.000643795,0.000643795
64,9163.05,0.98489,0.81823,1.26601,0.71791,0.41026,0.45292,0.21288,1.96314,1.92247,2.17921,0.000627292,0.000627292,0.000627292
65,9340.9,0.99552,0.80858,1.24829,0.60255,0.48718,0.51543,0.24631,2.01099,1.76341,2.17595,0.000610789,0.000610789,0.000610789
66,9521.38,1.01473,0.77866,1.26369,0.51259,0.46154,0.43748,0.22122,1.95111,1.818,2.10388,0.000594286,0.000594286,0.000594286
67,9696.4,0.99633,0.80186,1.24433,0.49187,0.41026,0.4233,0.2013,2.07738,1.95333,2.26765,0.000577782,0.000577782,0.000577782
68,9858.89,0.98983,0.75179,1.23867,0.64764,0.38462,0.43373,0.21352,2.06481,1.83922,2.37111,0.000561279,0.000561279,0.000561279
69,10024.7,1.00544,0.77868,1.25163,0.6492,0.4359,0.46062,0.22014,2.02219,1.72448,2.17653,0.000544776,0.000544776,0.000544776
70,10184.6,0.97619,0.75821,1.24379,0.49493,0.45244,0.41315,0.20555,1.98475,1.7785,2.19621,0.000528272,0.000528272,0.000528272
